part_id,display_name,source_relative_path,audit_verdict,audit_flags,status,vertices,triangles,catalog_vertices,catalog_triangles,mesh_blocks,kept_block_count,dropped_blocks,large_dropped_block_count,has_root_marker,repair_rule,gx_pose_block_count,gx_pose_mode,gx_pose_applied,bounds,width,height,depth,center_x,center_y,center_z,obj_path,error
"nova_fire_arm24_bzk","바주카","datan\common\arm24_bzk.gx","review","depth_outlier;center_z_outlier","audited","566","444","566","444","12","12","","0","true","","10","detected","false","-0.808673;-0.426651;-0.855639|0.948104;1.26147;4.982535","1.756777","1.688121","5.838174","0.069716","0.41741","2.063448","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm24_bzk_2d7ab4fb.obj",""
"nova_fire_arm25_skoob","쇼크웨이브","datan\common\arm25_skoob.gx","pass","","audited","155","113","155","113","3","3","","0","true","","2","detected","false","-0.322444;0;-0.433584|0.3162;0.358594;1.183145","0.638644","0.358594","1.616729","-0.003122","0.179297","0.374781","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm25_skoob_229cc6db.obj",""
"nova_fire_arm26_srmd","사라만다","datan\common\arm26_srmd.gx","pass","","audited","263","213","263","213","2","2","","0","true","","1","detected","false","-0.217568;-0.001623;-0.367148|0.217568;0.857472;0.869204","0.435136","0.859095","1.236352","0","0.427925","0.251028","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm26_srmd_f4149406.obj",""
"nova_fire_arm27_stst","슈팅스타","datan\common\arm27_stst.gx","pass","","audited","285","232","285","232","7","7","","0","true","","6","detected","false","-0.40342;-0.000188;-0.450782|0.402071;0.749988;1.141305","0.805491","0.750176","1.592087","-0.000675","0.3749","0.345262","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm27_stst_62131fa9.obj",""
"nova_fire_arm28_ozs","이지스","datan\common\arm28_ozs.gx","pass","","audited","191","178","191","178","4","4","","0","true","","3","detected","false","-0.234896;-0.011843;-0.346924|0.229078;0.328631;0.662621","0.463974","0.340474","1.009545","-0.002909","0.158394","0.157849","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm28_ozs_ea482b30.obj",""
"nova_fire_arm29_sdbt","선더볼트","datan\common\arm29_sdbt.gx","pass","","audited","426","334","426","334","11","11","","0","true","","11","detected","false","-0.98388;-0.072604;-0.775538|0.966104;0.978073;2.921709","1.949984","1.050677","3.697247","-0.008888","0.452735","1.073086","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm29_sdbt_291ce62e.obj",""
"nova_fire_arm30_sm","서먼","datan\common\arm30_sm.gx","pass","","audited","120","122","120","122","7","7","","0","true","","6","detected","false","-0.291454;-0.005889;-0.244879|0.209287;0.249603;0.50932","0.500741","0.255492","0.754199","-0.041083","0.121857","0.132221","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm30_sm_359935d2.obj",""
"nova_fire_arm31_skokr","스카이킬러","datan\common\arm31_skokr.gx","pass","","audited","298","324","298","324","7","7","","0","true","","6","detected","false","-0.703428;-0.027838;-0.426247|0.700086;0.682867;0.519151","1.403514","0.710705","0.945398","-0.001671","0.327515","0.046452","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm31_skokr_34910848.obj",""
"nova_fire_arm32_sppoo","스핏파이어","datan\common\arm32_sppoo.gx","review","center_x_outlier","audited","705","386","705","386","11","11","","0","true","","7","detected","false","-1.102856;-0.538849;-0.816583|0.596122;0.877524;1.134423","1.698978","1.416373","1.951006","-0.253367","0.169338","0.15892","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm32_sppoo_7cc1e4c9.obj",""
"nova_fire_arm33_hkoo","호크아이","datan\common\arm33_hkoo.gx","pass","","audited","327","265","327","265","4","4","","0","true","","3","detected","false","-0.27312;0.000013;-0.339925|0.27312;0.828397;0.603904","0.54624","0.828384","0.943829","0","0.414205","0.13199","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm33_hkoo_2f3221a1.obj",""
"nova_fire_arm34_skpo","스콜피오","datan\common\arm34_skpo.gx","pass","","audited","339","319","339","319","12","12","","0","true","","12","detected","false","-0.482966;-0.103641;-0.369428|0.477336;0.65149;1.186474","0.960302","0.755131","1.555902","-0.002815","0.273925","0.408523","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm34_skpo_66ab9840.obj",""
"nova_fire_arm35_ons","오닉스","datan\common\arm35_ons.gx","pass","","audited","330","285","330","285","11","11","","0","true","","10","detected","false","-0.789139;-0.01972;-0.41723|0.78671;0.788649;0.404887","1.575849","0.808369","0.822117","-0.001214","0.384465","-0.006172","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm35_ons_8d7b076f.obj",""
"nova_fire_arm36_bnso","버닝소울","datan\common\arm36_bnso.gx","pass","","audited","319","281","319","281","6","6","","0","true","","5","detected","false","-0.407678;-0.004095;-0.803572|0.427024;0.746432;1.989486","0.834702","0.750527","2.793058","0.009673","0.371169","0.592957","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm36_bnso_b047ecaf.obj",""
"nova_fire_arm37_sts","스틱스","datan\common\arm37_sts.gx","pass","","audited","268","287","268","287","6","6","","0","true","","5","detected","false","-0.795186;-0.012204;-0.335166|0.795323;1.075173;0.807956","1.590509","1.087377","1.143122","0.000069","0.531485","0.236395","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm37_sts_881e108b.obj",""
"nova_fire_arm39_hmsk","해머쇼크","datan\common\arm39_hmsk.gx","pass","","audited","720","496","720","496","19","19","","0","true","","18","detected","false","-0.979089;-0.732629;-0.873409|0.999018;1.828939;2.970227","1.978107","2.561568","3.843636","0.009964","0.548155","1.048409","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm39_hmsk_40bfb86e.obj",""
"nova_fire_arm41_onoo","아누아이","datan\common\arm41_onoo.gx","pass","","audited","256","292","256","292","8","8","","0","true","","7","detected","false","-0.722499;-0.031672;-0.555464|0.722519;0.898407;0.751223","1.445018","0.930079","1.306687","0.00001","0.433368","0.09788","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm41_onoo_c56a3962.obj",""
"nova_fire_arm43_przso","프리징소울","datan\common\arm43_przso.gx","pass","","audited","455","409","455","409","12","12","","0","true","","11","detected","false","-0.374964;0;-0.397966|0.373135;0.755918;1.562275","0.748099","0.755918","1.960241","-0.000914","0.377959","0.582155","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm43_przso_8b357f45.obj",""
"nova_fire_arm46_dbkr","데빌클로","datan\common\arm46_dbkr.gx","pass","","audited","653","658","653","658","19","19","","0","true","","17","detected","false","-1.459258;-0.251575;-0.734583|1.460628;1.51545;1.589916","2.919886","1.767025","2.324499","0.000685","0.631938","0.427667","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm46_dbkr_c141629d.obj",""
"nova_fire_arm4_bk","발칸","datan\common\arm4_bk.gx","pass","","audited","168","135","168","135","4","4","","0","true","","3","detected","false","-0.268445;-0;-0.389576|0.230974;0.39588;1.96963","0.499419","0.39588","2.359206","-0.018735","0.19794","0.790027","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm4_bk_14ec86a5.obj",""
"nova_fire_arm55_bbs","베베세","datan\common\arm55_bbs.gx","pass","","audited","724","444","724","444","26","26","","0","true","","7","detected","false","-0.857456;-0.477927;-0.893001|0.92542;1.567549;0.96883","1.782876","2.045476","1.861831","0.033982","0.544811","0.037914","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm55_bbs_a08fbf66.obj",""
"nova_fire_arm8_do","듀얼건","datan\common\arm8_do.gx","pass","","audited","211","238","211","238","9","9","","0","true","","6","detected","false","-0.662014;-0.117675;-0.554026|0.656826;0.667683;0.483335","1.31884","0.785358","1.037361","-0.002594","0.275004","-0.035346","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_arm8_do_c62ca52b.obj",""
"nova_fire_g_arm56_prrs","프롤릭스G","datan\common\g_arm56_prrs.gx","pass","","audited","240","266","240","266","5","5","","0","true","","4","detected","false","-0.666198;-0.000011;-0.455553|0.666201;0.825552;0.353944","1.332399","0.825563","0.809497","0.000001","0.412771","-0.050805","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_g_arm56_prrs_6c1c56c2.obj",""
"nova_fire_g_arm57_prs","팔랑스G","datan\common\g_arm57_prs.gx","pass","","audited","272","216","272","216","3","3","","0","true","","2","detected","false","-0.193747;-0.10542;-0.656248|0.193759;0.432738;1.660975","0.387506","0.538158","2.317223","0.000006","0.163659","0.502364","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_g_arm57_prs_44d72b9d.obj",""
"nova_fire_g_arm58_dbkr","데빌클로G","datan\common\g_arm58_dbkr.gx","pass","","audited","653","658","653","658","19","19","","0","true","","17","detected","false","-1.459258;-0.251575;-0.734583|1.460628;1.51545;1.589916","2.919886","1.767025","2.324499","0.000685","0.631938","0.427667","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_g_arm58_dbkr_7cd10af8.obj",""
"nova_fire_n_arm59_dmsz","데미시즈N","datan\common\n_arm59_dmsz.gx","pass","","audited","81","80","81","80","4","4","","0","true","","4","detected","false","-0.185139;-0.032986;-0.522632|0.185679;0.28726;1.521597","0.370818","0.320246","2.044229","0.00027","0.127137","0.499483","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm59_dmsz_23a50f4e.obj",""
"nova_fire_n_arm60_mgbr","메가배럴N","datan\common\n_arm60_mgbr.gx","pass","","audited","392","302","392","302","9","9","","0","true","","7","detected","false","-0.723024;-0.14035;-0.668976|0.716616;0.902116;1.615983","1.43964","1.042466","2.284959","-0.003204","0.380883","0.473504","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm60_mgbr_93f3db04.obj",""
"nova_fire_n_arm61_bsrsk","바실리스크N","datan\common\n_arm61_bsrsk.gx","pass","","audited","277","210","277","210","4","4","","0","true","","4","detected","false","-0.314615;-0.042621;-0.440258|0.314615;0.370096;1.502842","0.62923","0.412717","1.9431","0","0.163738","0.531292","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm61_bsrsk_93c34796.obj",""
"nova_fire_n_arm62_knst","캐니스터N","datan\common\n_arm62_knst.gx","pass","","audited","244","232","244","232","7","7","","0","true","","6","detected","false","-0.648307;-0.004664;-0.37297|0.646646;0.7677;0.53019","1.294953","0.772364","0.90316","-0.000831","0.381518","0.07861","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm62_knst_ebcd5b3d.obj",""
"nova_fire_n_arm63_krst","클러스터N","datan\common\n_arm63_krst.gx","pass","","audited","174","199","174","199","5","5","","0","true","","4","detected","false","-0.710031;-0.000154;-0.943471|0.703843;0.846554;0.249822","1.413874","0.846708","1.193293","-0.003094","0.4232","-0.346825","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm63_krst_540a7073.obj",""
"nova_fire_n_arm64_hdkn","핸드케넌N","datan\common\n_arm64_hdkn.gx","pass","","audited","373","321","373","321","8","8","","0","true","","7","detected","false","-0.710447;-0.129457;-0.838707|0.748813;0.858682;0.795006","1.45926","0.988139","1.633713","0.019183","0.364613","-0.021851","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm64_hdkn_ebda1fa4.obj",""
"nova_fire_n_arm65_bbs","베베세N","datan\common\n_arm65_bbs.gx","pass","","audited","724","444","724","444","26","26","","0","true","","7","detected","false","-0.857456;-0.477927;-0.893001|0.92542;1.596491;0.988915","1.782876","2.074418","1.881916","0.033982","0.559282","0.047957","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm65_bbs_ed56efc7.obj",""
"nova_fire_n_arm66_skpo","스콜피오N","datan\common\n_arm66_skpo.gx","pass","","audited","339","319","339","319","12","12","","0","true","","12","detected","false","-0.482966;-0.082446;-0.369428|0.477336;0.65149;1.165279","0.960302","0.733936","1.534707","-0.002815","0.284522","0.397926","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm66_skpo_ba00c879.obj",""
"nova_fire_n_arm67_sts","스틱스N","datan\common\n_arm67_sts.gx","pass","","audited","268","287","268","287","6","6","","0","true","","5","detected","false","-0.795186;-0.012204;-0.335166|0.795323;1.075173;0.807956","1.590509","1.087377","1.143122","0.000069","0.531485","0.236395","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm67_sts_11adf732.obj",""
"nova_fire_n_arm68_roz","레이저N","datan\common\n_arm68_roz.gx","pass","","audited","246","260","246","260","7","7","","0","true","","6","detected","false","-0.611489;-0.106165;-0.342684|0.609079;0.749351;0.359927","1.220568","0.855516","0.702611","-0.001205","0.321593","0.008621","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm68_roz_49d884c0.obj",""
"nova_fire_n_arm69_rkog","리코일건N","datan\common\n_arm69_rkog.gx","pass","","audited","628","394","628","394","9","9","","0","true","","8","detected","false","-0.891392;-0.060639;-0.882728|0.861852;1.244044;1.746907","1.753244","1.304683","2.629635","-0.01477","0.591703","0.43209","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm69_rkog_58048a89.obj",""
"nova_fire_n_arm70_hmsk","해머쇼크N","datan\common\n_arm70_hmsk.gx","pass","","audited","720","496","720","496","19","19","","0","true","","18","detected","false","-0.979114;-0.709497;-0.873409|0.999018;1.637208;2.970227","1.978132","2.346705","3.843636","0.009952","0.463856","1.048409","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_n_arm70_hmsk_c454bc29.obj",""
"nova_fire_s_arm50_hmsk","해머쇼크S","datan\common\s_arm50_hmsk.gx","pass","","audited","720","496","720","496","19","19","","0","true","","18","detected","false","-0.979089;-0.732629;-0.873409|0.999018;1.828939;2.970227","1.978107","2.561568","3.843636","0.009964","0.548155","1.048409","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_s_arm50_hmsk_ec006bf8.obj",""
"nova_fire_s_arm52_bzk","바주카S","datan\common\s_arm52_bzk.gx","review","depth_outlier;center_z_outlier","audited","566","444","566","444","12","12","","0","true","","10","detected","false","-0.808673;-0.426651;-0.855639|0.948104;1.26147;4.982535","1.756777","1.688121","5.838174","0.069716","0.41741","2.063448","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_s_arm52_bzk_40a35d86.obj",""
"nova_fire_s_arm53_ons","오닉스S","datan\common\s_arm53_ons.gx","pass","","audited","330","285","330","285","11","11","","0","true","","10","detected","false","-0.789139;-0.01972;-0.41723|0.78671;0.788649;0.404887","1.575849","0.808369","0.822117","-0.001214","0.384465","-0.006172","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_s_arm53_ons_e0664aa7.obj",""
"nova_fire_s_arm54_onoo","아누아이S","datan\common\s_arm54_onoo.gx","pass","","audited","256","292","256","292","8","8","","0","true","","7","detected","false","-0.722499;-0.031672;-0.555464|0.722519;0.898407;0.751223","1.445018","0.930079","1.306687","0.00001","0.433368","0.09788","Assets/Art/Nova1492/GXConverted/Models/UnitParts/ArmWeapons/datan_common_s_arm54_onoo_9d8e9730.obj",""
