"Count","Name"
"1558",".bmp"
"1385",".tga"
"871",".gx"
"859",".xfi"
"448",".wav"
"203",".fld"
"203",".pas"
"197",".mmp"
"66",".json"
"65",".png"
"56",".edt"
"21",".ifl"
"13",".jpg"
"13",".mp3"
"9",".dat"
"6",".js"
"5",".exe"
"5",".dll"
"4",".dae"
"4",".txt"
"2",".smp"
"2",".cfg"
"1",".db"
"1",".ini"
"1",".jsc"
"1",".ico"
