source_relative_path,part_id,mesh_header,vertices,triangles,node,node_start,node_end,parent_node,parent_start,parent_end,local_tx,local_ty,local_tz,tx,ty,tz,bounds,repair_rule,repair_reason,texture_source,assessment
"datan\common\body38_qrso.gx","nova_frame_body38_qrso","0x720E","4","2","Object13","0x4769","0x7389","","0x0","0x9FBF","-0.10404","0.290636","0.524265","-0.10404","0.290636","0.524265","-0.141818;0.22693;0.495607|-0.066262;0.354343;0.552923","","","C:\Program Files (x86)\Nova1492\datan\common\070309r_bp_01.TGA","pass"
"datan\common\body38_qrso.gx","nova_frame_body38_qrso","0x9E39","4","2","Object12","0x7394","0x9FB4","","0x0","0x9FBF","0.106563","0.290636","0.524265","0.106563","0.290636","0.524265","0.068785;0.22693;0.495607|0.144341;0.354343;0.552924","","","C:\Program Files (x86)\Nova1492\datan\common\070309r_bp_01.TGA","pass"
"datan\common\body3_bgd.gx","nova_frame_body3_bgd","0x142","93","102","body","0x7D","0x1ACD","C:\Program Files\Nova1492AR\data\body3.gx","0x0","0x1AD8","0","0","0","0","0","0","-0.455127;0.000002;-1.042128|0.455127;0.651878;0.831618","","","C:\Program Files (x86)\Nova1492\datan\common\body3.TGA","pass"
"datan\common\body4_kpr.gx","nova_frame_body4_kpr","0xF52","152","166","body","0x7D","0x39D9","C:\Program Files\Nova1492AR\data\body4.gx","0x0","0x39E4","0","0","0","0","0","0","-0.34172;-0.073429;-0.925022|0.340684;0.513606;0.667625","","","C:\Program Files (x86)\Nova1492\datan\common\body4.TGA","pass"
"datan\common\body5_skms.gx","nova_frame_body5_skms","0xC12","90","85","body","0x7D","0x22FD","C:\Program Files\Nova1492AR\data\body5.gx","0x0","0x2308","0","0","0","0","0","0","-0.433065;-0.000034;-1.055853|0.434017;0.845983;0.441231","","","C:\Program Files (x86)\Nova1492\datan\common\body5.TGA","pass"
"datan\common\body6_skd.gx","nova_frame_body6_skd","0x1492","32","40","body","0x7D","0x1EC1","C:\Program Files\Nova1492AR\data\body6.gx","0x0","0x1ECC","0","0","0","0","0","0","-0.108889;0.061873;-0.325169|0.109774;0.497046;0.582697","","","C:\Program Files (x86)\Nova1492\datan\common\body6.TGA","pass"
"datan\common\body7_mops.gx","nova_frame_body7_mops","0x1592","121","113","body","0x7D","0x37C5","C:\Program Files\Nova1492AR\data\body7.gx","0x0","0x37D0","0","0","0","0","0","0","-0.627229;-0.113084;-0.981287|0.62173;0.515518;0.654414","","","C:\Program Files (x86)\Nova1492\datan\common\body7.TGA","pass"
"datan\common\body8_brc.gx","nova_frame_body8_brc","0x142","160","136","body","0x7D","0x289D","C:\Program Files\Nova1492AR\data\body8.gx","0x0","0x28A8","0","0","0","0","0","0","-0.558142;-0.159751;-0.952023|0.555838;0.595289;0.734361","","","C:\Program Files (x86)\Nova1492\datan\common\body8.TGA","pass"
"datan\common\body9_btro.gx","nova_frame_body9_btro","0x1312","58","56","body","0x7D","0x2297","C:\Program Files\Nova1492AR\data\body9.gx","0x0","0x22A2","0","0","0","0","0","0","-0.124966;0.002893;-0.505992|0.124964;0.477406;0.485226","","","C:\Program Files (x86)\Nova1492\datan\common\body9.TGA","pass"
"datan\common\n_body39_brgod.gx","nova_frame_n_body39_brgod","0x1526","120","56","body","0x8E","0x2EF3","D:\NovaUpdate\AR_DATA\AR(????????)\BP\??????????\body36.gx","0x0","0x34B6","0","0","0","0","0","0","-0.136631;-0.04095;-0.543542|0.109569;0.476729;0.490244","","","C:\Program Files (x86)\Nova1492\datan\common\n_body36.TGA","pass"
"datan\common\n_body39_brgod.gx","nova_frame_n_body39_brgod","0x2F0B","24","12","D:\NovaUpdate\AR_DATA\AR(????????)\BP\??????????\body36.gx","0x0","0x34B6","","","","0","0","0","0","0","0","-0.085526;0.185103;-0.063119|0.08561;0.502958;0.480503","","","C:\Program Files (x86)\Nova1492\datan\common\n_body36.TGA","pass"
"datan\common\n_body40_zns.gx","nova_frame_n_body40_zns","0x1222","147","165","body","0x8A","0x5CF7","D:\NovaUpdate\AR_DATA\AR(????????)\BP\??????\body93.gx","0x0","0x5D02","0","0","0","0","0","0","-0.833533;-0.15294;-0.905532|0.835537;0.706761;1.226922","","","C:\Program Files (x86)\Nova1492\datan\common\n_body93.TGA","pass"
"datan\common\n_body40_zns.gx","nova_frame_n_body40_zns","0x5AFD","5","4","Mesh01","0x4221","0x5CEC","body","0x8A","0x5CF7","-0.000006","0.362434","0.808677","-0.033504","0.345731","0.815269","-0.188039;0.289468;0.49572|0.112424;0.393339;1.132769","","","C:\Program Files (x86)\Nova1492\datan\common\n_body93.TGA","pass"
"datan\common\n_body41_kmdo.gx","nova_frame_n_body41_kmdo","0xAA4","277","180","body","0x8C","0x4D77","D:\NovaUpdate\AR_DATA\AR(????????)\BP\????????\body34.gx","0x0","0x4D82","0","0","-0","0","0","-0","-0.530591;0.000023;-1.168306|0.532812;0.670992;0.751645","","","C:\Program Files (x86)\Nova1492\datan\common\n_body34.TGA","pass"
"datan\common\n_body42_kdd.gx","nova_frame_n_body42_kdd","0x1362","265","204","body","0x8A","0x573D","D:\NovaUpdate\AR_DATA\AR(????????)\BP\??????\body71.gx","0x0","0x5748","0","-0","0","0","-0","0","-0.800103;-0.130986;-1.366657|0.737365;0.648877;0.499684","","","C:\Program Files (x86)\Nova1492\datan\common\n_body71.TGA","pass"
