"relative_path","extension","length","sha256","source_path"
"datan\common\070309r_ap_06.tga",".tga","6394","F402371B3A60E050BD3874BD9DB5665B84A3BD54FD7D584BB1FAEF0A4B6C9B44","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_06.tga"
"datan\common\070309r_ap_07.tga",".tga","2042","08E910A24C08FA8FFEFFDE9490CB9E367BF2171E1DD1008326F773D508462A23","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_07.tga"
"datan\common\070309r_ap_08.tga",".tga","5722","7A812224A2D8441766657C49465C6EE0943100669A3BA5DB9241FCFFE03228A9","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_08.tga"
"datan\common\070309r_ap_09.tga",".tga","13639","EA76A5CA4A4972956F6B78DEC8B87C0F146C9985268ACA6C5511EAEA57A2BDD9","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_09.tga"
"datan\common\070309r_ap_10.tga",".tga","2913","D45F8D1AE25873159B2153BE6A1C95C948100431B9678913EC2DE47CEA2FAE5A","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_10.tga"
"datan\common\070309r_ap_11.tga",".tga","4667","73C9FE243DCABD4F75A36E231E1590504AD3099F9C9E77719A8ED5C75FB4D914","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_11.tga"
"datan\common\070309r_ap_12.tga",".tga","6733","9D5569BCDA14438C69A9882B363DBCE158E07DD1D0118E3F7B819714856D2B86","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_12.tga"
"datan\common\070309r_ap_13.tga",".tga","3243","8234F640D7086C5E089E316BDF7A14D416A405167154B6F1ACB49D2E8A4E8289","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_13.tga"
"datan\common\070309r_ap_14.tga",".tga","8357","8B3947F21D28F2CDCE42E952480AA7A6CE728DF7611628EAF3A232088404B17C","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_14.tga"
"datan\common\070309r_ap_15.tga",".tga","12710","C4647F8969B30B05951125E55F164AC2366994C73B82608E05114527A4B000C1","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_15.tga"
"datan\common\070309r_ap_16.tga",".tga","12410","6659880805FFE58D00DE696F67A2E8BB7D7076B6DEDCC372B84E2F006A25DDD8","C:\Program Files (x86)\Nova1492\datan\common\070309r_ap_16.tga"
"datan\common\070309r_bp_01.tga",".tga","10001","7C897C00B1D61FAA9DD9DC4D16157AE4BAEDE2053ABF7C1CE38D0C51E1D405B2","C:\Program Files (x86)\Nova1492\datan\common\070309r_bp_01.tga"
"datan\common\070309r_bp_02.tga",".tga","12290","0D01163E06E4D3BA18190E5E5F075EFF71B936CBCAF3556D6CD4B89B5A8E8825","C:\Program Files (x86)\Nova1492\datan\common\070309r_bp_02.tga"
"datan\common\070309r_bp_03.tga",".tga","2803","A539A81E650009AC3DFEC5EE8830C35C8FBC82209266BA1E23F73A7DEC76C674","C:\Program Files (x86)\Nova1492\datan\common\070309r_bp_03.tga"
"datan\common\070309r_ef_01.tga",".tga","2087","769120DC06DD5D2DC26DF5CABAF08A750945A1D399569D6FF05D0C8BC797BCBA","C:\Program Files (x86)\Nova1492\datan\common\070309r_ef_01.tga"
"datan\common\070309r_ef_02.tga",".tga","1065","3CB69E9C14A295C6E1A371F2D6470CF1EDEEB816FE3B5604F48F7D0231301837","C:\Program Files (x86)\Nova1492\datan\common\070309r_ef_02.tga"
