source_relative_path,part_id,mesh_header,vertices,triangles,node,node_start,node_end,parent_node,parent_start,parent_end,local_tx,local_ty,local_tz,tx,ty,tz,bounds,repair_rule,repair_reason,texture_source,assessment
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xDA1A","6","4","Box394","0xCDE3","0xDC35","Cylinder243475","0xA334","0xDC40","-0.171733","-0.056439","0.00592","-0.545719","0.486196","-0.159841","-0.68637;0.404236;0.041931|-0.416922;0.63545;0.080527","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xE464","35","16","Box391","0xDC4B","0xFC8A","","","","-0.202923","-0.090873","-0.151808","-0.202923","-0.090873","-0.151808","-0.35689;-0.491949;-0.275942|-0.110294;0.023373;0.15296","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xECC8","36","18","Box392","0xEBFF","0xF538","Box391","0xDC4B","0xFC8A","0","-0.42469","0.06614","-0.282677","-0.395139","0.141105","-0.37907;-0.570035;0.118496|-0.187405;-0.299638;0.688661","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xF550","5","2","Box391","0xDC4B","0xFC8A","","","","-0.202923","-0.090873","-0.151808","-0.202923","-0.090873","-0.151808","-0.400998;-0.643949;-0.013756|-0.210675;-0.474287;0.203746","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xF7B4","20","10","Box400","0xF6EB","0xFC7F","Box391","0xDC4B","0xFC8A","0.00968","-0.474908","-0.060333","-0.284825","-0.509198","0.066293","-0.40863;-0.766349;0.016116|-0.223977;-0.48158;0.312095","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0xFD60","24","20","Object03","0xFC95","0x10488","","","","0.011762","-0.036465","0.297548","0.011762","-0.036465","0.297548","-0.086068;-0.96049;0.228095|0.339425;0.06243;1.72056","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x104A0","12","8","","","","","","","0","0","0","0","0","0","-0.208347;-0.180434;1.228678|0.208347;0.180433;1.533774","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x108C2","12","4","","","","","","","0","0","0","0","0","0","-0.104173;-0.180434;-0.033032|0.104173;-0.080642;1.533774","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x11293","12","6","muzzle","0x10B7F","0x11596","","","","0","-0.022338","1.557463","0","-0.022338","1.557463","-0.634734;-0.657072;1.290717|0.634734;0.612396;2.560185","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x115AE","8","4","","","","","","","0","0","0","0","0","0","-0.009599;-0.009599;0.000252|0.009599;0.009599;0.000252","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x1184F","12","10","Object04","0x11784","0x11C89","","","","-0","-0","0.561001","-0","-0","0.561001","-0.158942;-0.176093;0.449474|0.158942;0.137648;0.740277","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x11CA1","12","8","","","","","","","0","0","0","0","0","0","-0.158942;-0.176093;-0.111527|0.158942;0.137648;0.179276","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
"datan\common\arm23_rkog.gx","nova_fire_arm23_rkog","0x12087","16","8","","","","","","","0","0","0","0","0","0","-0.027427;-0.816662;-0.06316|0.027427;-0.176093;0.140229","","","C:\Program Files (x86)\Nova1492\datan\common\n_topn3.tga","pass"
