"Extension","Count"
".bmp","1558"
".tga","1385"
".gx","871"
".xfi","859"
".wav","448"
".fld","203"
".pas","203"
".mmp","197"
".json","66"
".png","65"
".edt","56"
".ifl","21"
".jpg","13"
".mp3","13"
".dat","9"
".js","6"
".txt","5"
".exe","5"
".dll","5"
".dae","4"
".smp","2"
".cfg","2"
".ini","1"
".ico","1"
".db","1"
".jsc","1"
