"source","meshHeader","vertices","triangles","node","nodeStart","nodeEnd","tx","ty","tz","rawBounds","transformedBounds"
"datan\common\legs15_krr.gx","0x1054","184","162","legs","0x7E","0x11036","6.486512E-09","1.377928","1.353186E-08","-0.505719;-1.288141;-0.750986|0.507131;-0.000789;1.354443","-0.505719;0.089787;-0.750986|0.507131;1.377139;1.354443"
"datan\common\legs15_krr.gx","0x517E","12","8","Box01","0x41E7","0xB296","-5.075503E-09","0.3862628","-0.130543","-0.652489;-0.041435;-0.461797|0.652489;0.271424;0.185954","-0.652489;0.344828;-0.59234|0.652489;0.657687;0.055411"
"datan\common\legs15_krr.gx","0x6459","18","14","Mesh08","0x5501","0x6A43","0.5810667","0.5327505","-0.2985003","0.043285;-0.509997;-0.430539|0.329426;0.476254;0.928615","0.624351;0.022754;-0.729039|0.910493;1.009005;0.630114"
"datan\common\legs15_krr.gx","0xC1F9","18","14","Mesh04","0xB2A1","0xC7E3","-0.5810666","1.524416","-0.1679573","-0.329426;-0.509997;-0.430539|-0.043285;0.476254;0.928615","-0.910493;1.014419;-0.598496|-0.624351;2.00067;0.760657"
"datan\common\legs15_krr.gx","0x11DA3","12","8","Box02","0x1104C","0x17883","-6.486512E-09","-1.196423","0.9856562","-0.273343;-0.051378;-0.208104|0.273343;0.16337;0.208104","-0.273343;-1.247801;0.777553|0.273343;-1.033054;1.19376"
"datan\common\legs15_krr.gx","0x12B7E","18","14","Mesh02","0x12126","0x130F0","-0.342461","-1.140427","0.9856562","-0.074468;-0.223377;-0.39221|0.074468;0.427709;0.529522","-0.416929;-1.363805;0.593446|-0.267993;-0.712719;1.515179"
"datan\common\legs15_krr.gx","0x17E66","18","14","Mesh07","0x1788E","0x183D8","0.342461","0.05599599","0","-0.074468;-0.223377;-0.39221|0.074468;0.427709;0.529522","0.267993;-0.167381;-0.39221|0.416929;0.483704;0.529522"
